coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized
Sapphire,SAPP,0.564647,0.02,0.001,0.0139999999999999,432768.0,470978131.0,2022-03-16,1.3699281842684398e-05,7.46989265541539e-06,0.0005221670213264057
Horizen,ZEN,38.73,0.015,0.061,0.026,29127070.0,469969529.0,2022-03-16,0.0009396546641375665,0.0005027545619518309,0.0005208672960135766
WOO Network,WOO,0.492556,0.019,0.087,0.124,60339780.0,467152311.0,2022-03-16,1.1950233446223338e-05,0.0010415087979041436,0.0005172369150046572
Liquity USD,LUSD,1.0,0.0,0.0,-0.008,3222808.0,464727068.0,2022-03-16,2.4261674742554178e-05,5.5628026584715044e-05,0.0005141116488274517
Golem,GLM,0.465346,0.016,0.022,-0.085,15905189.0,464458665.0,2022-03-16,1.129007327549876e-05,0.00027453521169331757,0.0005137657738706904
Rally,RLY,0.180078,0.026,0.001,-0.0579999999999999,3356848.0,464413872.0,2022-03-16,4.368993834768933e-06,5.794165516060762e-05,0.0005137080518000049
Baby Doge Coin,BABYDOGE,2.864e-09,0.026,0.021,-0.039,10651029.0,452640717.0,2022-03-16,3.348111119441073e-14,0.00018384456175067547,0.0004985366883034406
Audius,AUDIO,0.735289,0.027,0.026,0.02,7909768.0,447883958.0,2022-03-16,1.7839342550247177e-05,0.00013652838908893372,0.0004924069363504123
Siacoin,SC,0.008880296534,0.018,0.022,-0.004,12295120.0,446937901.0,2022-03-16,2.154508304407429e-07,0.00021222277660421025,0.0004911878090531442
Metis Token,METIS,146.38,0.026,0.009,-0.047,38905039.0,436965500.0,2022-03-16,0.0035514239540493896,0.0006715294686408175,0.000478336969961626
Ontology,ONT,0.499727,0.021,0.0289999999999999,-0.011,30824913.0,433758425.0,2022-03-16,1.212421391606038e-05,0.0005320605756953342,0.00047420420346141903
0x,ZRX,0.509791,0.025,0.035,0.0279999999999999,29309302.0,427933388.0,2022-03-16,1.2368383411031793e-05,0.0005059000197453407,0.0004666978252893881
APENFT,NFT,1.523622e-06,0.004,0.005,-0.047,69002807.0,421365369.0,2022-03-16,3.692961712408549e-11,0.001191038989048048,0.0004582340104749785
SKALE,SKL,0.12635,0.013,0.043,0.1119999999999999,11283316.0,407687711.0,2022-03-16,3.0654625722665412e-06,0.00019475829848124388,0.0004406084274176169
SwissBorg,CHSB,0.428284,0.022,0.026,-0.054,1063375.0,403883855.0,2022-03-16,1.0390887084855825e-05,1.8354631355489178e-05,0.000435706624794226
dYdX,DYDX,4.64,0.0289999999999999,0.032,-0.036,95015055.0,396760804.0,2022-03-16,0.00011257417093650712,0.0016400294418681355,0.0004265275733058555
Dogelon Mars,ELON,7.24104e-07,0.043,0.072,0.0279999999999999,10950097.0,394017729.0,2022-03-16,1.7531971428481945e-11,0.00018900669447922695,0.00042299273596417965
Olympus,OHM,28.12,0.0139999999999999,-0.019,-0.086,3529301.0,390854092.0,2022-03-16,0.0006822382947370609,6.091832025161331e-05,0.00041891594542687845
Constellation,DAG,0.152116,0.013,-0.013,0.249,1019712.0,382521151.0,2022-03-16,3.69058888461088e-06,1.7600975995080362e-05,0.0004081777807712339
