coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized,liquidity_ratio,volatility_score,avg_abs_change,turnover_rate,market_dominance,momentum_short,momentum_medium,momentum_long,momentum_consistency,liquidity_class
TrueUSD,TUSD,1.0,0.0,0.001,0.001,114862495.0,1404670246.0,2022-03-16,2.4261674742554175e-05,0.001982610793273,0.0017253604278976,0.08177185736445079,0.0005773502691896258,0.0006666666666666666,0.00198261079327304,0.037404963870281055,0.0,0.001,0.001,0,Medium
Huobi Token,HT,8.98,0.01,0.009,-0.025,32112940.0,1392164927.0,2022-03-16,0.0002178698394754,0.0005542928651143,0.0017092455682708,0.023066907790300913,0.019924858845171277,0.014666666666666666,0.0005542928651143224,0.03707195973161338,0.01,0.009,-0.025,0,Medium
KuCoin Token,KCS,18.41,0.0139999999999999,0.009,0.02,8578734.0,1390455505.0,2022-03-16,0.0004466574326372,0.0001480752322245,0.0017070427379733,0.006169729249984162,0.005507570547286105,0.0143333333333333,0.000148075232224569,0.0370264395333098,0.0139999999999999,0.009,0.02,1,Low
Celsius Network,CEL,3.18,0.009,0.032,0.098,3927635.0,1346075894.0,2022-03-16,7.715212575981173e-05,6.779385684628351e-05,0.0016498533770656,0.0029178406786029257,0.04619884558442271,0.04633333333333334,6.779385684628351e-05,0.03584465487548048,0.009,0.032,0.098,1,Low
Stacks,STX,1.26,0.018,0.026,0.183,44370134.0,1317492670.0,2022-03-16,3.0569710184979385e-05,0.0007658610111801,0.0016130198790604,0.03367770843081806,0.09303941816957656,0.07566666666666666,0.0007658610111801165,0.035083512205832064,0.018,0.026,0.183,1,Medium
Humans.ai,HEART,0.044270474958,0.025,0.086,-0.547,1852838.0,1309127902.0,2022-03-16,1.0740758297189892e-06,3.1981340967619e-05,0.0016022407008458,0.0014153223662633386,0.3491881059448236,0.21933333333333335,3.1981340967619e-05,0.034860766799417804,0.025,0.086,-0.547,0,Low
Enjin Coin,ENJ,1.4,0.018,0.05,0.046,133821819.0,1300650179.0,2022-03-16,3.396634465397757e-05,0.0023098626120286,0.0015913159642518,0.10288840240108867,0.017435595774162697,0.038,0.0023098626120286797,0.03463501351431743,0.018,0.05,0.046,1,High
Basic Attention Token,BAT,0.822605,0.021,0.055,0.251,324813983.0,1223583998.0,2022-03-16,1.9957774945211797e-05,0.0056065272524491,0.0014920053677937,0.2654611236587944,0.12414507642270797,0.109,0.005606527252449162,0.03258281818652835,0.021,0.055,0.251,1,High
NEXO,NEXO,2.19,0.015,0.031,0.098,4583402.0,1222563065.0,2022-03-16,5.31330677290388e-05,7.911287557447918e-05,0.0014906897522558,0.003749010690094748,0.044034077712608,0.04800000000000001,7.911287557447918e-05,0.03255563176175163,0.015,0.031,0.098,1,Low
Amp,AMP,0.025036137658,0.018,0.0069999999999999,0.003,8084731.0,1198878147.0,2022-03-16,6.07418593565292e-07,0.0001395483786183,0.0014601684093902,0.006743580254782974,0.0077674534651540434,0.0093333333333333,0.000139548378618357,0.03192492608219204,0.018,0.0069999999999999,0.003,1,Low
Radix,XRD,0.121859,0.015,0.064,-0.001,215995.0,1198319388.0,2022-03-16,2.956503390836035e-06,3.728231902789594e-06,0.0014594483699534,0.0001802482728419312,0.0338673884437522,0.02666666666666667,3.728231902789594e-06,0.031910046888824976,0.015,0.064,-0.001,0,Low
Kusama,KSM,126.84,0.025,0.04,0.038,65896976.0,1132594631.0,2022-03-16,0.0030773508288763,0.0011374300711616,0.0013747527909713,0.058182313597776536,0.008144527815247077,0.034333333333333334,0.0011374300711616482,0.030159862339840086,0.025,0.04,0.038,1,Medium
Celo,CELO,2.52,0.022,0.037,-0.076,46620149.0,1074226736.0,2022-03-16,6.11394204059631e-05,0.0008046979180749,0.0012995375617847,0.043398797886557164,0.061370459777757354,0.045000000000000005,0.0008046979180749758,0.028605583668474707,0.022,0.037,-0.076,0,Medium
Kadena,KDA,6.23,0.024,0.009,0.031,58659719.0,1061714057.0,2022-03-16,0.0001511502338344,0.0010125097145048,0.0012834132177644,0.05525001634220616,0.011239810200058244,0.021333333333333333,0.00101250971450484,0.02827238354036761,0.024,0.009,0.031,1,Medium
Chiliz,CHZ,0.198241,0.026,0.024,0.02,109408277.0,1049331415.0,2022-03-16,4.809658633771891e-06,0.0018884669957204,0.0012674564446794,0.10426474937853643,0.0030550504633038928,0.023333333333333334,0.001888466995720461,0.027942646167523292,0.026,0.024,0.02,1,High
Dash,DASH,97.64,0.016,0.005,0.03,245449241.0,1035525179.0,2022-03-16,0.0023689099253424,0.0042366336758336,0.0012496651708131,0.23702875215166544,0.012529964086141666,0.017,0.004236633675833661,0.02757499991016491,0.016,0.005,0.03,1,High
Frax Share,FXS,17.92,0.006,-0.011,0.006,4834916.0,1031430071.0,2022-03-16,0.0004347692119957,8.345419143270841e-05,0.0012443880490878,0.004687584874573625,0.009814954576223637,0.007666666666666666,8.345419143270841e-05,0.02746595127955492,0.006,-0.011,0.006,0,Low
